id,name,wear,rarity,price,steam_price,sell_num,buy_num,rate_7,rate_30,inventory
1,运动手套（★） | 迈阿密风云 (略有磨损),略有磨损,非凡,9200.0,0,1016,51,+2.56,-16.29,7737
2,印花 | 麻将·百中,,高级,4.99,5.57,135,95,+22.91,+28.28,
3,印花 | 肉食主义,,高级,0.88,1.01,439,69,+31.34,+27.54,
4,M4A4 | 杀意大名 (久经沙场),久经沙场,受限,24.9,33.59,483,109,+4.18,+7.33,230092
5,M9 刺刀（★） | 渐变之色 (崭新出厂),崭新出厂,隐秘,6138.99,10009.32,261,26,+1.47,-10.87,5500
6,幻彩武器箱,,普通级,32.88,47.09,569,167,+9.46,-6.85,
7,P250 | 北方森林 (久经沙场),久经沙场,消费级,0.05,0.21,649,995,-37.50,+66.67,2915438
8,Tec-9 | 冰冠 (崭新出厂),崭新出厂,军规级,11.5,17.97,615,232,+46.12,+7.48,217520
9,MAC-10 | 青金鳄皮 (略有磨损),略有磨损,军规级,8.2,13.66,65,40,+17.31,-2.84,69444
10,幻彩 3 号武器箱,,普通级,23.69,37.3,951,893,+8.41,-7.09,
11,MAC-10 | 红苹果 (崭新出厂),崭新出厂,工业级,3.0,5.01,1341,515,+15.44,-6.56,990130
12,CZ75 | 聚合物 (久经沙场),久经沙场,军规级,3.15,5.46,90,241,-8.43,-2.48,207408
13,MP9 | 生化泄漏 (崭新出厂),崭新出厂,军规级,7.6,10.38,384,177,+60.04,-5.07,200830
14,MAC-10 | 银质 (崭新出厂),崭新出厂,工业级,2.08,2.91,2992,939,+18.86,-7.14,2222470
15,弯曲猎手武器箱,,普通级,11.09,18.1,916,139,+8.24,-8.79,
16,印花 | Gambit Esports | 2018年波士顿锦标赛,,高级,9.7,22.74,65,2,-22.52,-1.22,
17,双持贝瑞塔 | 人工染色 (崭新出厂),崭新出厂,工业级,11.88,14.83,125,121,+61.41,-29.66,64444
18,FN57 | 橘皮涂装 (略有磨损),略有磨损,工业级,1.18,1.99,260,124,+9.26,-8.53,401449
19,沙漠之鹰 | 泥地杀手 (久经沙场),久经沙场,工业级,0.28,0.52,493,398,+47.37,-6.67,1301399
20,格洛克 18 型 | 本生灯 (久经沙场),久经沙场,军规级,6.04,8.94,187,47,+9.03,+18.66,318910
21,USP 消音版 | 力矩 (崭新出厂),崭新出厂,军规级,15.0,22.28,769,135,+25.00,-8.54,312077
22,沙漠之鹰 | 泥地杀手 (略有磨损),略有磨损,工业级,1.56,3.23,300,137,+56.25,+30.72,339499
23,P2000 | 草皮 (久经沙场),久经沙场,军规级,4.51,6.44,90,291,+23.22,+29.97,139060
24,沙漠之鹰 | 锈蚀烈焰 (崭新出厂),崭新出厂,军规级,8.0,11.79,937,352,+14.45,-15.43,288522
25,沙漠之鹰 | 都市瓦砾 (久经沙场),久经沙场,军规级,1.18,1.77,344,105,+0.86,-5.60,381088
26,MP7 | 都市危机 (崭新出厂),崭新出厂,军规级,16.4,22.13,99,52,+49.09,-32.29,189509
27,MP7 | 卷云 (战痕累累),战痕累累,军规级,4.2,7.45,61,316,+0.72,-6.04,78716
28,FN57 | 霸意大名 (崭新出厂),崭新出厂,军规级,19.0,27.22,276,110,+47.63,+1.93,104993
29,MP7 | 星点 (略有磨损),略有磨损,消费级,44.38,57.85,19,14,+4.74,-13.82,31689
30,AK-47 | 精英之作 (战痕累累),战痕累累,军规级,10.18,15.07,744,29,-2.12,-3.96,263720
31,MP9 | 砂垢 (略有磨损),略有磨损,军规级,4.9,6.44,96,136,+23.12,-29.39,99443
32,双持贝瑞塔 | 钴蓝石英 (崭新出厂),崭新出厂,受限,6.5,10.4,715,839,+30.00,+16.28,449259
33,印花 | chrisJ | 2018年波士顿锦标赛,,高级,8.0,30.13,33,16,+9.44,+14.45,
