id,name,wear,rarity,price,steam_price,sell_num,buy_num,rate_7,rate_30,rate_90
1,运动手套（★） | 迈阿密风云 (略有磨损),略有磨损,非凡,8887.5,0,1022,34,-8.85,-17.77,-41.49
4,M4A4 | 杀意大名 (久经沙场),久经沙场,受限,23.4,38.35,503,32,5.41,1.74,-2.46
5,M9 刺刀（★） | 渐变之色 (崭新出厂),崭新出厂,隐秘,6000.0,9415.79,288,24,-7.69,-11.77,-22.88
7,P250 | 北方森林 (久经沙场),久经沙场,消费级,0.08,0.3,615,1062,60.0,60.0,100.0
8,Tec-9 | 冰冠 (崭新出厂),崭新出厂,军规级,7.89,12.33,657,81,-24.86,-30.73,-1.38
9,MAC-10 | 青金鳄皮 (略有磨损),略有磨损,军规级,7.37,12.99,104,32,-10.01,-18.11,-7.76
11,MAC-10 | 红苹果 (崭新出厂),崭新出厂,工业级,2.63,4.94,1517,250,-6.74,-19.08,-12.04
12,CZ75 | 聚合物 (久经沙场),久经沙场,军规级,3.47,6.11,96,255,-6.97,17.63,-0.86
13,MP9 | 生化泄漏 (崭新出厂),崭新出厂,军规级,4.69,7.86,468,95,-26.37,-46.4,-4.29
14,MAC-10 | 银质 (崭新出厂),崭新出厂,工业级,1.73,2.45,3028,963,2.37,-17.23,-4.95
17,双持贝瑞塔 | 人工染色 (崭新出厂),崭新出厂,工业级,7.37,10.82,147,113,-32.26,-62.7,95.49
18,FN57 | 橘皮涂装 (略有磨损),略有磨损,工业级,1.08,2.15,304,58,-10.74,-30.32,35.0
19,沙漠之鹰 | 泥地杀手 (久经沙场),久经沙场,工业级,0.25,0.6,512,306,8.7,-7.41,-34.21
20,格洛克 18 型 | 本生灯 (久经沙场),久经沙场,军规级,5.53,8.87,230,37,3.36,8.86,-7.68
21,USP 消音版 | 力矩 (崭新出厂),崭新出厂,军规级,11.5,16.29,851,109,-16.55,-31.55,-24.59
22,沙漠之鹰 | 泥地杀手 (略有磨损),略有磨损,工业级,1.27,2.88,275,172,-28.25,-10.56,16.51
23,P2000 | 草皮 (久经沙场),久经沙场,军规级,3.98,7.07,111,319,-14.41,15.36,3.65
24,沙漠之鹰 | 锈蚀烈焰 (崭新出厂),崭新出厂,军规级,6.0,9.93,967,287,-24.24,-38.46,-13.42
25,沙漠之鹰 | 都市瓦砾 (久经沙场),久经沙场,军规级,1.2,1.99,314,78,-8.4,-8.4,-12.41
26,MP7 | 都市危机 (崭新出厂),崭新出厂,军规级,9.96,14.37,99,40,-33.06,-47.52,10.91
27,MP7 | 卷云 (战痕累累),战痕累累,军规级,4.13,6.95,52,250,-0.48,-11.94,-35.27
28,FN57 | 霸意大名 (崭新出厂),崭新出厂,军规级,13.0,17.02,393,96,-22.16,-28.96,2.77
29,MP7 | 星点 (略有磨损),略有磨损,消费级,42.42,58.73,25,9,-4.65,-6.73,-9.55
30,AK-47 | 精英之作 (战痕累累),战痕累累,军规级,10.19,15.38,735,17,3.35,-2.02,-11.39
31,MP9 | 砂垢 (略有磨损),略有磨损,军规级,3.99,6.0,127,131,-4.09,-2.21,11.45
32,双持贝瑞塔 | 钴蓝石英 (崭新出厂),崭新出厂,受限,4.98,8.97,934,239,11.16,-12.48,13.18
34,双持贝瑞塔 | 雇佣兵 (久经沙场),久经沙场,消费级,0.03,0.21,897,1262,0,-25.0,0
35,AK-47 | 卡特尔 (久经沙场),久经沙场,保密,108.0,151.06,831,81,-3.84,-10.0,-21.74
37,AK-47 | 深海复仇 (战痕累累),战痕累累,隐秘,243.0,314.37,24,2,-5.99,-17.48,-11.25
38,AK-47 | 深海复仇 (崭新出厂),崭新出厂,隐秘,1255.0,1888.0,146,8,-6.62,-23.38,-34.29
